Date,Temperature,PH,DO,WQI,station_id
2003-01-15,29.0,5.78,6.05,63.17,0
2003-01-15,29.0,6.89,6.21,69.94,1
2003-01-15,30.0,7.24,7.02,79.6,2
2003-02-15,28.0,6.61,6.95,69.14,0
2003-02-15,29.0,6.91,6.63,72.35,1
2003-02-15,29.0,7.08,6.98,75.17,2
2003-03-15,26.5,7.19,5.87,61.26,0
2003-03-15,29.5,6.84,5.78,69.01,1
2003-03-15,30.0,7.19,7.79,83.55,2
2003-04-15,27.0,6.98,5.87,61.82,0
2003-04-15,30.0,6.86,6.66,75.61,1
2003-04-15,29.0,7.55,5.06,67.15,2
2003-05-15,28.0,7.02,5.88,65.46,0
2003-05-15,29.8,7.18,7.173,79.45,1
2003-05-15,29.0,6.7,5.74,66.36,2
2003-06-15,28.5,6.98,6.29,69.17,0
2003-06-15,29.0,6.81,6.076,68.78,1
2003-06-15,30.0,6.85,6.84,76.55,2
2003-07-15,28.5,7.79,6.54,74.84,0
2003-07-15,29.3,6.96,7.063,75.99,1
2003-07-15,29.7,6.9,5.98,71.09,2
2003-08-15,30.0,5.06,6.13,63.16,0
2003-08-15,28.5,6.82,7.484,74.86,1
2003-08-15,29.8,6.82,5.43,67.99,2
2003-09-15,30.0,5.74,5.98,65.95,0
2003-09-15,27.0,6.82,6.48,64.31,1
2003-09-15,29.0,6.8,7.16,74.66,2
2003-10-15,28.5,6.84,7.47,74.89,0
2003-10-15,29.0,6.97,6.66,72.83,1
2003-10-15,28.5,6.99,7.45,75.58,2
2003-11-15,28.6,5.98,6.18,63.6,0
2003-11-15,28.5,6.99,7.43,75.47,1
2003-11-15,27.5,6.91,6.12,64.51,2
2003-12-15,28.0,5.43,6.662,61.3,0
2003-12-15,28.0,6.89,6.16,66.3,1
2003-12-15,26.0,6.86,5.87,57.82,2
2004-01-15,29.0,7.16,7.55,78.71,0
2004-01-15,29.0,6.85,6.12,69.24,1
2004-01-15,28.0,7.23,7.99,78.12,2
2004-02-15,29.0,7.45,7.559,80.3,0
2004-02-15,32.0,6.94,5.87,78.45,1
2004-02-15,28.5,7.06,2.67,49.78,2
2004-03-15,29.8,6.12,7.537,75.81,0
2004-03-15,29.5,7.17,6.66,75.57,1
2004-03-15,30.0,7.1,6.04,73.49,2
2004-04-15,29.0,5.87,6.266,64.83,0
2004-04-15,30.0,7.33,7.57,83.09,1
2004-04-15,33.0,7.39,6.22,86.12,2
2004-05-15,29.0,7.99,6.021,74.75,0
2004-05-15,29.8,7.14,6.96,78.07,1
2004-05-15,29.0,7.17,6.31,71.98,2
2004-06-15,31.0,2.67,6.281,54.67,0
2004-06-15,29.0,7.3,6.7,74.8,1
2004-06-15,30.0,7.28,6.07,74.61,2
2004-07-15,30.0,7.22,6.3,75.55,0
2004-07-15,29.7,7.16,6.09,73.08,1
2004-08-15,29.9,6.94,7.54,80.52,0
2004-08-15,29.8,7.01,6.41,74.37,1
2004-09-15,29.0,6.96,7.59,77.87,0
2004-09-15,29.0,6.97,6.45,71.68,1
2004-10-15,29.0,7.09,7.16,76.2,0
2004-10-15,29.8,7.0,6.57,75.19,1
2004-11-15,29.0,6.93,6.73,73.0,0
2004-11-15,30.6,6.94,6.53,77.35,1
2004-12-15,29.0,6.98,7.12,75.4,0
2004-12-15,30.5,6.99,6.32,76.13,1
2005-01-15,27.3,6.04,6.22,59.76,0
2005-01-15,28.2,7.33,6.26,69.86,1
2005-01-15,29.0,7.11,6.24,71.27,2
2005-02-15,27.5,6.22,7.42,67.96,0
